model;sku;fix_tip;before_kaynak;after_kaynak;pdf_liste_eur;mut_liste_eur;before_tl;after_tl;diff_tl;pdf_key
SRB-20;118.SRB20;price_down;senox-pdf-2026-1;senox-pdf-2026-1;700;903;22648;22702;54;SRB20
BBL-02;118.BBL.02;price_down;senox-mutbex-liste;senox-mutbex-liste;;645;20869;20918;49;
SMR-5120-ST;118.SMR.5120.ST;price_down;senox-mutbex-liste;senox-mutbex-liste;;645;20869;20918;49;
SRB-12;118.SRB12;price_down;senox-pdf-2026-1;senox-pdf-2026-1;600;774;19413;19459;46;SRB12
VN-25RO;118.VN25RO;price_down;senox-pdf-2026-1;senox-pdf-2026-1;550;709.5;17795;17837;42;VN25RO
CMVA-1;118.CMVA1;price_down;senox-mutbex-liste;senox-mutbex-liste;;541.8;17530;17571;41;
KMP-01;118.KMP.01;price_down;senox-mutbex-liste;senox-mutbex-liste;;516;16695;16735;40;
COFFEDIO;118.COFFEDIO;price_down;senox-mutbex-liste;senox-mutbex-liste;;516;16695;16735;40;
BL-25L-35C;118.BL25L35C;price_down;senox-pdf-2026-1;senox-pdf-2026-1;440;567.6;14236;14270;34;BL25L35C
BL-40L-50C;118.BL40L50C;price_down;senox-pdf-2026-1;senox-pdf-2026-1;440;741.75;14236;14270;34;BL40L50C
SRB-15;118.SRB.15;price_down;senox-pdf-2026-1;senox-pdf-2026-1;450;580.5;14560;14594;34;SRB15
VN-25HA;118.VN25HA;ocr_guard_mutbex;senox-mutbex-liste;senox-mutbex-liste;1400;438.6;14191;14225;34;VN25HA
BL-25C;118.BL25C;price_down;senox-pdf-2026-1;senox-pdf-2026-1;420;541.8;13589;13621;32;BL25C
BL-40C;118.BL40C;price_down;senox-pdf-2026-1;senox-pdf-2026-1;420;709.5;13589;13621;32;BL40C
BL-40;118.BL40;price_down;senox-pdf-2026-1;senox-pdf-2026-1;400;516;12942;12973;31;BL40
KM-01;118.KM01;price_down;senox-pdf-2026-1;senox-pdf-2026-1;400;516;12942;12973;31;KM01
MC-25;118.MC25;price_down;senox-pdf-2026-1;senox-pdf-2026-1;400;412.8;12942;12973;31;MC25
PS-01;118.PS.01;price_down;senox-mutbex-liste;senox-mutbex-liste;;387;12521;12551;30;
BZ-12;118.BZ12;price_down;senox-mutbex-liste;senox-mutbex-liste;;361.2;11686;11714;28;
LT-16;118.LT.16;price_down;senox-mutbex-liste;senox-mutbex-liste;;361.2;11686;11714;28;
SNX-25-G;118.SNX.25.G;price_down;senox-pdf-2026-1;senox-pdf-2026-1;330;425.7;10677;10702;25;SNX25G
MC-30;118.MC30;price_down;senox-pdf-2026-1;senox-pdf-2026-1;320;516;10353;10378;25;MC30
LT-12;118.LT.12;price_down;senox-mutbex-liste;senox-mutbex-liste;;316.05;10226;10250;24;
BS-01;118.BS.01;price_down;senox-pdf-2026-1;senox-pdf-2026-1;300;387;9706;9729;23;BS01
VM-01;286.VM01;price_down;senox-pdf-2026-1;senox-pdf-2026-1;300;387;9706;9729;23;VM01
SNX-25-B;118.SNX.25.B;price_down;senox-pdf-2026-1;senox-pdf-2026-1;300;425.7;9706;9729;23;SNX25B
SNX-25-C;118.SNX.25.C;price_down;senox-pdf-2026-1;senox-pdf-2026-1;300;425.7;9706;9729;23;SNX25C
SNX-17-S;118.SNX17.S;price_down;senox-pdf-2026-1;senox-pdf-2026-1;300;387;9706;9729;23;SNX17S
SNX-25-S;118.SNX25.S;price_down;senox-pdf-2026-1;senox-pdf-2026-1;300;425.7;9706;9729;23;SNX25S
SNX-17-G;118.SNX.17.G;price_down;senox-pdf-2026-1;senox-pdf-2026-1;300;387;9706;9729;23;SNX17G
SNX-17-B;118.SNX.17.B;price_down;senox-pdf-2026-1;senox-pdf-2026-1;300;387;9706;9729;23;SNX17B
SNX-17-C;118.SNX.17.C;price_down;senox-pdf-2026-1;senox-pdf-2026-1;300;387;9706;9729;23;SNX17C
SNX-35SC;118.SNX.35SC;price_down;senox-pdf-2026-1;senox-pdf-2026-1;300;387;9706;9729;23;SNX35SC
DBE-02;118.DBE.02;price_down;senox-pdf-2026-1;senox-pdf-2026-1;300;387;9706;9729;23;DBE02
BL-25L-35;118.BL25L35;price_down;senox-pdf-2026-1;senox-pdf-2026-1;290;374.1;9383;9405;22;BL25L35
BL-40L-50;118.BL40L50;price_down;senox-pdf-2026-1;senox-pdf-2026-1;290;548.25;9383;9405;22;BL40L50
BL-25;118.BL25;price_down;senox-pdf-2026-1;senox-pdf-2026-1;270;348.3;8736;8757;21;BL25
LT-8;118.LT.8;price_down;senox-mutbex-liste;senox-mutbex-liste;;258;8347;8367;20;
YSO-200;118.YSO.200;price_down;senox-pdf-2026-1;senox-pdf-2026-1;250;322.5;8089;8108;19;YSO200
DBE-01;118.DBE.01;price_down;senox-pdf-2026-1;senox-pdf-2026-1;250;322.5;8089;8108;19;DBE01
STRC;118.STRC;price_down;senox-mutbex-liste;senox-mutbex-liste;;232.2;7513;7531;18;
DS-01;118.DS.01;price_down;senox-pdf-2026-1;senox-pdf-2026-1;190;245.1;6147;6162;15;DS01
YSO-100;118.YSO.100;price_down;senox-pdf-2026-1;senox-pdf-2026-1;200;258;6471;6486;15;YSO100
DM-02;118.DM.02;price_down;senox-pdf-2026-1;senox-pdf-2026-1;200;258;6471;6486;15;DM02
