scope	brand	category	subcategory	sku	product_code	barcode	equsto_name	equsto_price_vat_included	mutbex_name	mutbex_price_vat_included	difference_tl	difference_percent	classification	match_method	confidence	stock_status	equsto_url	mutbex_url	notes
HAZIRLIK	Electrolux Professional	Hazırlık	Sebze Hazirlik Tezgahlari	133068	ELECTROLUX		Premium Serisi Tezgah-Evyeler 1200 mm Sırtlı Sebze Hazırlama Tezgahı	64188.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/133068		No match found on Mutbex
HAZIRLIK	Electrolux Professional	Hazırlık	Sebze Hazirlik Tezgahlari	133069	ELECTROLUX		Premium Serisi Tezgah-Evyeler 1600 mm Sırtlı Sebze Hazırlama Tezgahı	72203.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/133069		No match found on Mutbex
HAZIRLIK	Electrolux Professional	Hazırlık	Setustu Vakum Paketleme Makineleri	602179	ELECTROLUX		Vakum Paketleme Makineleri Set üstü Vakum Paketleme Makinesi 12m3/saat	168218.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/602179		No match found on Mutbex
HAZIRLIK	Electrolux Professional	Hazırlık	Setustu Vakum Paketleme Makineleri	602181	ELECTROLUX		Vakum Paketleme Makineleri Set Üstü Vakum Paketleme Makinesi 20m3/saat	264067.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/602181		No match found on Mutbex
HAZIRLIK	Electrolux Professional	Hazırlık	Setustu Vakum Paketleme Makineleri	602178	ELECTROLUX		Vakum Paketleme Makineleri Set üstü Vakum Paketleme Makinesi 8m3/saat	154183.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/602178		No match found on Mutbex
HAZIRLIK	Electrolux Professional	Hazırlık	Setustu Vakum Paketleme Makineleri	602180	ELECTROLUX		Vakum Paketleme Makineleri Setüstü Vakum Paketleme Makinesi 16m3/saat	209026.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/602180		No match found on Mutbex
HAZIRLIK	Electrolux Professional	Hazırlık	Tbxpro	602167	ELECTROLUX		Turbo Mikserler TBX Pro Turbo sıvılaştırıcı motor (aksesuarlar dahil değildir), 2 hızlı, 850/1700 rpm, 380- 440V/3ph/50Hz	235998.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/602167		No match found on Mutbex
HAZIRLIK	Electrolux Professional	Hazırlık	Tbxpro	602199	ELECTROLUX		Turbo Mikserler TBX Pro Turbomikser motor (aksesuarlar dahil değildir), değişken hızlı, 630-1700 rpm, 1ph, 220-240V/50-60Hz	258812.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/602199		No match found on Mutbex
HAZIRLIK	Electrolux Professional	Hazırlık	Tbxpro	602168	ELECTROLUX		Turbo Mikserler TBX Pro Turbomikser motor (aksesuarlar dahil değildir), değişken hızlı, 630-1700 rpm, 3ph, 380-480V/50-60Hz	253758.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/602168		No match found on Mutbex
HAZIRLIK	Electrolux Professional	Hazırlık	Trinitypro Cutter Mikserler 2 6 Litre	600992	ELECTROLUX		Cutter-Mikserler TrinityPro Cutter Mikser 2,6 Lt - Değişken Hız	0.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/600992		No match found on Mutbex
HAZIRLIK	Electrolux Professional	Hazırlık	Trinitypro Cutter Mikserler 2 6 Litre	600987	ELECTROLUX		Cutter-Mikserler TrinityPro Cutter Mikser 2,6 Lt kopolyester hazne - 1 Hız	47658.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/600987		No match found on Mutbex
