decision	confidence	reason	lang	dept	slug	target	was_login	url
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-102690		False	https://equsto.com/shop/hazirlik/rc-102690
DROP_NO_VALUE	high	no_product_match	tr	market-reyonlari	eq-papatya-nv-eq4		False	https://equsto.com/shop/market-reyonlari/eq-papatya-nv-eq4
DROP_NO_VALUE	high	no_product_match	en	tezgah	pimak-10070-13		False	https://equsto.com/en/shop/tezgah/pimak-10070-13
DROP_NO_VALUE	high	no_product_match	tr	icecek	uba1012		False	https://equsto.com/shop/icecek/uba1012
DROP_NO_VALUE	high	no_product_match	tr	tezgah	mr38-1604060-00		False	https://equsto.com/shop/tezgah/mr38-1604060-00
DROP_NO_VALUE	high	no_product_match	tr	market-reyonlari	fulya-nv-fg-ml-3m1-937x790x2220		False	https://equsto.com/shop/market-reyonlari/fulya-nv-fg-ml-3m1-937x790x2220
DROP_NO_VALUE	high	no_product_match	en	market-reyonlari	eq-nergis-lm-eq31		False	https://equsto.com/en/shop/market-reyonlari/eq-nergis-lm-eq31
DROP_NO_VALUE	high	no_product_match	en	hazirlik	rc-t1-057-39337		False	https://equsto.com/en/shop/hazirlik/rc-t1-057-39337
DROP_NO_VALUE	high	no_product_match	en	kahve	cafe-kurulumu.html		False	https://equsto.com/en/shop/kahve/cafe-kurulumu.html
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-12060-51		False	https://equsto.com/shop/tezgah/pimak-12060-51
DROP_NO_VALUE	high	no_product_match	tr	market-reyonlari	nergis-lb-tp-sky-ml-3m1-3124x812x2050		False	https://equsto.com/shop/market-reyonlari/nergis-lb-tp-sky-ml-3m1-3124x812x2050
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-28114		False	https://equsto.com/shop/hazirlik/rc-28114
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-14060-46		False	https://equsto.com/shop/tezgah/pimak-14060-46
DROP_NO_VALUE	high	no_product_match	tr	davlumbaz	pimak-45205-00		False	https://equsto.com/shop/davlumbaz/pimak-45205-00
DROP_NO_VALUE	high	no_product_match	tr	yikama	hazirlik.html		False	https://equsto.com/shop/yikama/hazirlik.html
DROP_NO_VALUE	high	no_product_match	tr	sogutma	9805-fm480-ake		False	https://equsto.com/shop/sogutma/9805-fm480-ake
DROP_NO_VALUE	high	no_product_match	tr	davlumbaz	pimak-60205-00		False	https://equsto.com/shop/davlumbaz/pimak-60205-00
DROP_NO_VALUE	high	not_sellable	en	sogutma	727488		True	https://equsto.com/en/login.html?next=/en/shop/sogutma/727488
DROP_NO_VALUE	high	no_product_match	tr	market-reyonlari	eq-nergis-lb-lm-eq45		False	https://equsto.com/shop/market-reyonlari/eq-nergis-lb-lm-eq45
